step,t_years,mean,std
573,0.573,1622.16,367.251
574,0.574,1622.5,367.655
575,0.575,1622.85,368.061
576,0.576,1623.19,368.469
577,0.577,1623.53,368.869
578,0.578,1623.88,369.273
579,0.579,1624.23,369.686
580,0.58,1624.57,370.089
581,0.581,1624.91,370.491
582,0.582,1625.27,370.899
583,0.583,1625.61,371.302
584,0.584,1625.97,371.711
585,0.585,1626.31,372.119
586,0.586,1626.66,372.526
587,0.587,1627.01,372.924
588,0.588,1627.36,373.325
589,0.589,1627.71,373.73
590,0.59,1628.07,374.143
591,0.591,1628.42,374.549
592,0.592,1628.78,374.954
593,0.593,1629.12,375.342
594,0.594,1629.48,375.748
595,0.595,1629.83,376.149
596,0.596,1630.18,376.548
597,0.597,1630.52,376.951
598,0.598,1630.86,377.358
599,0.599,1631.21,377.757
600,0.6,1631.56,378.16
601,0.601,1631.9,378.568
602,0.602,1632.25,378.967
603,0.603,1632.61,379.366
604,0.604,1632.95,379.766
605,0.605,1633.29,380.175
606,0.606,1633.65,380.579
607,0.607,1634,380.982
608,0.608,1634.36,381.391
609,0.609,1634.71,381.794
610,0.61,1635.05,382.193
611,0.611,1635.42,382.606
612,0.612,1635.77,382.998
613,0.613,1636.12,383.396
614,0.614,1636.48,383.806
615,0.615,1636.84,384.205
616,0.616,1637.19,384.612
617,0.617,1637.54,385.013
618,0.618,1637.89,385.418
619,0.619,1638.24,385.817
620,0.62,1638.59,386.217
621,0.621,1638.94,386.632
622,0.622,1639.29,387.023
623,0.623,1639.64,387.431
624,0.624,1639.98,387.826
625,0.625,1640.33,388.23
626,0.626,1640.68,388.645
627,0.627,1641.03,389.048
628,0.628,1641.38,389.449
629,0.629,1641.73,389.858
630,0.63,1642.08,390.26
631,0.631,1642.42,390.664
632,0.632,1642.78,391.07
633,0.633,1643.12,391.474
634,0.634,1643.47,391.872
635,0.635,1643.82,392.268
636,0.636,1644.18,392.673
637,0.637,1644.52,393.067
638,0.638,1644.87,393.465
639,0.639,1645.21,393.868
640,0.64,1645.57,394.276
641,0.641,1645.94,394.685
642,0.642,1646.3,395.094
643,0.643,1646.64,395.493
644,0.644,1646.99,395.887
645,0.645,1647.34,396.294
646,0.646,1647.7,396.69
647,0.647,1648.05,397.101
648,0.648,1648.41,397.494
649,0.649,1648.76,397.896
650,0.65,1649.12,398.301
651,0.651,1649.47,398.699
652,0.652,1649.82,399.088
653,0.653,1650.18,399.493
654,0.654,1650.53,399.898
655,0.655,1650.89,400.302
656,0.656,1651.24,400.689
657,0.657,1651.58,401.088
658,0.658,1651.93,401.476
659,0.659,1652.28,401.875
660,0.66,1652.63,402.273
661,0.661,1652.99,402.673
662,0.662,1653.35,403.069
663,0.663,1653.7,403.466
664,0.664,1654.06,403.872
665,0.665,1654.42,404.269
666,0.666,1654.78,404.677
667,0.667,1655.13,405.089
668,0.668,1655.48,405.486
669,0.669,1655.83,405.889
670,0.67,1656.19,406.294
671,0.671,1656.55,406.705
672,0.672,1656.91,407.121
673,0.673,1657.26,407.523
674,0.674,1657.61,407.922
675,0.675,1657.96,408.318
676,0.676,1658.32,408.717
677,0.677,1658.68,409.109
678,0.678,1659.04,409.523
679,0.679,1659.4,409.932
680,0.68,1659.77,410.331
681,0.681,1660.13,410.741
682,0.682,1660.49,411.145
683,0.683,1660.84,411.542
684,0.684,1661.2,411.94
685,0.685,1661.56,412.329
686,0.686,1661.92,412.73
687,0.687,1662.28,413.137
688,0.688,1662.63,413.535
689,0.689,1662.98,413.941
690,0.69,1663.34,414.346
691,0.691,1663.7,414.752
692,0.692,1664.05,415.147
693,0.693,1664.41,415.544
694,0.694,1664.76,415.941
695,0.695,1665.12,416.344
696,0.696,1665.47,416.734
697,0.697,1665.81,417.127
698,0.698,1666.17,417.525
699,0.699,1666.53,417.923
700,0.7,1666.88,418.323
701,0.701,1667.24,418.717
702,0.702,1667.6,419.109
703,0.703,1667.95,419.498
