step,t_years,mean,std
391,0.391,1560.5,290.541
392,0.392,1560.84,290.988
393,0.393,1561.17,291.421
394,0.394,1561.5,291.862
395,0.395,1561.84,292.309
396,0.396,1562.18,292.748
397,0.397,1562.51,293.186
398,0.398,1562.85,293.619
399,0.399,1563.17,294.052
400,0.4,1563.51,294.493
401,0.401,1563.84,294.932
402,0.402,1564.17,295.369
403,0.403,1564.51,295.802
404,0.404,1564.84,296.235
405,0.405,1565.18,296.668
406,0.406,1565.51,297.105
407,0.407,1565.85,297.536
408,0.408,1566.19,297.97
409,0.409,1566.52,298.403
410,0.41,1566.86,298.834
411,0.411,1567.2,299.269
412,0.412,1567.54,299.712
413,0.413,1567.87,300.143
414,0.414,1568.21,300.579
415,0.415,1568.54,301.015
416,0.416,1568.87,301.438
417,0.417,1569.21,301.874
418,0.418,1569.54,302.307
419,0.419,1569.88,302.74
420,0.42,1570.21,303.175
421,0.421,1570.54,303.606
422,0.422,1570.88,304.04
423,0.423,1571.22,304.479
424,0.424,1571.55,304.909
425,0.425,1571.89,305.337
426,0.426,1572.23,305.769
427,0.427,1572.57,306.201
428,0.428,1572.89,306.626
429,0.429,1573.22,307.055
430,0.43,1573.55,307.489
431,0.431,1573.9,307.929
432,0.432,1574.23,308.361
433,0.433,1574.56,308.79
434,0.434,1574.9,309.222
435,0.435,1575.23,309.65
436,0.436,1575.57,310.085
437,0.437,1575.91,310.507
438,0.438,1576.25,310.943
439,0.439,1576.58,311.362
440,0.44,1576.93,311.795
441,0.441,1577.27,312.222
442,0.442,1577.61,312.648
443,0.443,1577.94,313.079
444,0.444,1578.27,313.498
445,0.445,1578.61,313.913
446,0.446,1578.95,314.341
447,0.447,1579.28,314.769
448,0.448,1579.63,315.196
449,0.449,1579.97,315.621
450,0.45,1580.31,316.052
451,0.451,1580.66,316.476
452,0.452,1581,316.905
453,0.453,1581.33,317.326
454,0.454,1581.67,317.75
455,0.455,1582.01,318.171
456,0.456,1582.35,318.593
457,0.457,1582.7,319.018
458,0.458,1583.03,319.437
459,0.459,1583.37,319.868
460,0.46,1583.71,320.294
461,0.461,1584.05,320.715
462,0.462,1584.4,321.139
463,0.463,1584.73,321.561
464,0.464,1585.08,321.983
465,0.465,1585.41,322.405
466,0.466,1585.75,322.83
467,0.467,1586.08,323.256
468,0.468,1586.42,323.679
469,0.469,1586.77,324.11
470,0.47,1587.1,324.523
471,0.471,1587.44,324.945
472,0.472,1587.78,325.37
473,0.473,1588.12,325.803
474,0.474,1588.47,326.223
475,0.475,1588.81,326.643
476,0.476,1589.15,327.06
477,0.477,1589.49,327.484
478,0.478,1589.82,327.907
479,0.479,1590.16,328.322
480,0.48,1590.49,328.729
481,0.481,1590.84,329.157
482,0.482,1591.17,329.572
483,0.483,1591.51,329.987
484,0.484,1591.85,330.412
485,0.485,1592.19,330.83
486,0.486,1592.53,331.247
487,0.487,1592.88,331.667
488,0.488,1593.22,332.087
489,0.489,1593.56,332.502
490,0.49,1593.9,332.918
491,0.491,1594.25,333.338
492,0.492,1594.6,333.765
493,0.493,1594.93,334.178
494,0.494,1595.27,334.599
495,0.495,1595.61,335.022
496,0.496,1595.96,335.435
497,0.497,1596.29,335.846
498,0.498,1596.63,336.251
499,0.499,1596.97,336.665
500,0.5,1597.32,337.091
501,0.501,1597.66,337.508
502,0.502,1598.01,337.929
503,0.503,1598.35,338.348
504,0.504,1598.7,338.763
505,0.505,1599.05,339.182
506,0.506,1599.39,339.595
507,0.507,1599.72,340
508,0.508,1600.05,340.406
509,0.509,1600.39,340.819
510,0.51,1600.74,341.226
